year,age,length
1979,,19349.00
1980,,40949.00
1981,1146.00,34699.00
1982,,65092.00
1983,889.00,66517.00
1984,,100029.00
1985,1294.00,125129.00
1986,,128718.00
1987,1057.00,102639.00
1988,,114239.00
1989,655.00,115067.00
1990,,78794.00
1991,902.00,69653.00
1992,,79210.00
1993,1178.00,80596.00
1994,,74153.00
