"","dat_type","ADMB","RTMB","Difference","Relative_Difference"
"obj.fun","jnLL",768.999,768.8349,0.164100000000076,0.0213439842546268
"L.fish1age","Fixed Gear Fishery Age",46.6389,46.6359,0.00300000000000011,0.00643281248994897
"L.fish1sizef","Fixed Gear Fishery Length (F)",85.5745,85.5591,0.0153999999999996,0.0179992543166065
"L.fish1sizem","Fixed Gear Fishery Length (M)",91.0902,91.0725,0.0176999999999907,0.0194350654698078
"L.fish3sizef","Trawl Gear Fishery Length (F)",25.48,25.4665,0.0135000000000005,0.0530108181336285
"L.fish3sizem","Trawl Gear Fishery Length (M)",17.9147,17.9053,0.00939999999999941,0.0524984222548598
"L.surv1age","Domestic Survey LL Age",173.892,173.9936,-0.101599999999991,-0.0583929523844501
"L.surv1sizef","Domestic Survey LL Length (F)",48.0654,48.073,-0.0076000000000036,-0.0158092900380746
"L.surv1sizem","Domestic Survey LL Length (M)",34.754,34.7405,0.0135000000000005,0.0388595443358631
"L.surv7sizef","Domestic Trawl Survey Length (F)",23.1636,23.1275,0.0360999999999976,0.156091233380165
"L.surv7sizem","Domestic Trawl Survey Length (M)",17.6585,17.643,0.0154999999999994,0.0878535396474489
"L.surv2sizef","Japanese LL Survey Length (F)",27.9771,27.9254,0.0517000000000003,0.185136112642971
"L.surv2sizem","Japanese LL Survey Length (M)",17.5781,17.5397,0.0383999999999993,0.218931908755562
"Catch","Catch",3.6025,3.6787,-0.0762,-2.07138391279528
"L.surv3","Domestic LL Survey Index",33.807,33.7602,0.0468000000000046,0.138624771180279
"L.surv4","Japanese LL Survey Index",10.1676,10.1596,0.0080000000000009,0.0787432576085761
"L.surv7","Trawl Survey Index",20.5012,20.5692,-0.0679999999999978,-0.330591369620587
"L.surv5","Domestic LL Fishery Index",13.4898,13.4938,-0.00399999999999956,-0.0296432435637075
"L.surv6","Japanese LL Fishery Index",24.2537,24.2298,0.0238999999999976,0.0986388661895583
"F.reg","FMort Penalty",6.086,6.0941,-0.00809999999999977,-0.132915442805333
"M.prior","M Prior",0.8936,0.7924,0.1012,12.771327612317
"Rec.Pen","Rec Penalty",23.2796,23.2783,0.00129999999999697,0.00558460025000524
